"","year","doy","temp","temp_upper","temp_lower"
"1",801,NA,NA,NA,NA
"2",802,NA,NA,NA,NA
"3",803,NA,NA,NA,NA
"4",804,NA,NA,NA,NA
"5",805,NA,NA,NA,NA
"6",806,NA,NA,NA,NA
"7",807,NA,NA,NA,NA
"8",808,NA,NA,NA,NA
"9",809,NA,NA,NA,NA
"10",810,NA,NA,NA,NA
"11",811,NA,NA,NA,NA
"12",812,92,NA,NA,NA
"13",813,NA,NA,NA,NA
"14",814,NA,NA,NA,NA
"15",815,105,NA,NA,NA
"16",816,NA,NA,NA,NA
"17",817,NA,NA,NA,NA
"18",818,NA,NA,NA,NA
"19",819,NA,NA,NA,NA
"20",820,NA,NA,NA,NA
"21",821,NA,NA,NA,NA
"22",822,NA,NA,NA,NA
"23",823,NA,NA,NA,NA
"24",824,NA,NA,NA,NA
"25",825,NA,NA,NA,NA
"26",826,NA,NA,NA,NA
"27",827,NA,NA,NA,NA
"28",828,NA,NA,NA,NA
"29",829,NA,NA,NA,NA
"30",830,NA,NA,NA,NA
"31",831,96,NA,NA,NA
"32",832,NA,NA,NA,NA
"33",833,NA,NA,NA,NA
"34",834,NA,NA,NA,NA
"35",835,NA,NA,NA,NA
"36",836,NA,NA,NA,NA
"37",837,NA,NA,NA,NA
"38",838,NA,NA,NA,NA
"39",839,NA,5.87,10.99,0.75
"40",840,NA,5.99,10.78,1.21
"41",841,NA,6.12,10.6,1.64
"42",842,NA,6.25,10.47,2.02
"43",843,NA,6.37,10.39,2.35
"44",844,NA,6.5,10.37,2.63
"45",845,NA,6.62,10.42,2.83
"46",846,NA,6.75,10.54,2.96
"47",847,NA,6.88,10.73,3.03
"48",848,NA,7,10.99,3.02
"49",849,NA,7.13,11.31,2.95
"50",850,NA,7.25,11.68,2.83
"51",851,108,7.38,12.1,2.66
"52",852,NA,NA,NA,NA
"53",853,104,NA,NA,NA
"54",854,NA,NA,NA,NA
"55",855,NA,NA,NA,NA
"56",856,NA,NA,NA,NA
"57",857,NA,NA,NA,NA
"58",858,NA,NA,NA,NA
"59",859,NA,NA,NA,NA
"60",860,NA,NA,NA,NA
"61",861,NA,6.63,10.21,3.05
"62",862,NA,6.51,9.4,3.62
"63",863,NA,6.44,9.31,3.56
"64",864,100,6.42,8.69,4.14
"65",865,NA,6.44,8.54,4.34
"66",866,106,6.44,8.11,4.77
"67",867,NA,NA,NA,NA
"68",868,NA,NA,NA,NA
"69",869,95,NA,NA,NA
"70",870,NA,NA,NA,NA
"71",871,NA,NA,NA,NA
"72",872,NA,NA,NA,NA
"73",873,NA,NA,NA,NA
"74",874,NA,NA,NA,NA
"75",875,NA,NA,NA,NA
"76",876,NA,5.6,7.05,4.15
"77",877,NA,5.71,7,4.42
"78",878,NA,5.82,7.63,4.01
"79",879,NA,5.95,7.66,4.24
"80",880,NA,6.08,7.73,4.44
"81",881,NA,6.22,7.84,4.59
"82",882,NA,6.4,8.45,4.36
"83",883,NA,6.23,7.57,4.89
"84",884,NA,6.3,7.62,4.97
"85",885,NA,6.36,7.7,5.03
"86",886,NA,6.43,7.79,5.08
"87",887,NA,6.65,8.23,5.08
"88",888,NA,6.74,8.34,5.14
"89",889,104,6.83,8.48,5.19
"90",890,NA,6.88,8.79,4.97
"91",891,109,6.98,8.96,5
"92",892,108,7.11,9.11,5.11
"93",893,NA,6.93,8.34,5.53
"94",894,106,6.98,8.4,5.55
"95",895,104,7.08,8.57,5.58
"96",896,104,7.2,8.69,5.72
"97",897,NA,7.35,9.09,5.6
"98",898,NA,7.36,9.05,5.67
"99",899,NA,7.37,9.03,5.7
"100",900,NA,7.45,8.91,5.99
"101",901,NA,7.48,8.92,6.04
"102",902,102,7.5,8.95,6.06
"103",903,NA,7.4,9.01,5.79
"104",904,NA,7.37,8.95,5.8
"105",905,NA,7.34,8.9,5.79
"106",906,NA,7.32,8.88,5.75
"107",907,NA,7.29,8.87,5.7
"108",908,98,7.26,8.89,5.62
"109",909,NA,7.21,9.1,5.31
"110",910,NA,7.19,9.16,5.21
"111",911,NA,6.85,8.85,4.84
"112",912,95,6.78,8.83,4.74
"113",913,110,6.61,8.59,4.63
"114",914,NA,6.92,10.29,3.55
"115",915,NA,6.77,10.21,3.34
"116",916,NA,6.63,10.18,3.07
"117",917,95,6.48,10.21,2.76
"118",918,NA,6.33,10.1,2.56
"119",919,NA,6.4,9.07,3.73
"120",920,NA,6.8,8.52,5.08
"121",921,NA,6.79,8.5,5.07
"122",922,NA,6.77,8.49,5.05
"123",923,104,6.76,8.5,5.01
"124",924,NA,6.84,9.15,4.53
"125",925,NA,7.4,9.95,4.84
"126",926,98,7.45,10.01,4.9
"127",927,NA,6.82,9.6,4.05
"128",928,NA,6.68,9.07,4.29
"129",929,NA,6.78,8.87,4.69
"130",930,97,6.81,8.63,4.98
"131",931,NA,6.47,9.48,3.47
"132",932,NA,6.58,9.43,3.74
"133",933,106,6.72,9.41,4.03
"134",934,NA,6.49,10.03,2.96
"135",935,NA,6.71,9.53,3.9
"136",936,NA,6.83,9.28,4.38
"137",937,NA,6.94,9.02,4.87
"138",938,NA,7.02,8.96,5.08
"139",939,NA,7.1,8.84,5.35
"140",940,NA,7.17,8.82,5.52
"141",941,109,7.25,8.82,5.67
"142",942,NA,7.56,9.11,6.01
"143",943,NA,7.54,9,6.08
"144",944,NA,7.47,8.9,6.05
"145",945,NA,7.43,8.73,6.14
"146",946,NA,7.39,8.64,6.14
"147",947,NA,7.23,8.57,5.9
"148",948,NA,7.16,8.48,5.84
"149",949,107,7.1,8.35,5.85
"150",950,95,7.2,8.65,5.75
"151",951,NA,7.08,8.55,5.61
"152",952,NA,6.97,8.45,5.48
"153",953,NA,6.85,8.38,5.33
"154",954,NA,6.74,8.33,5.16
"155",955,89,7.07,8.37,5.77
"156",956,NA,6.94,8.16,5.73
"157",957,112,6.93,8.21,5.66
"158",958,109,6.96,8.34,5.58
"159",959,97,7.14,8.43,5.85
"160",960,101,7.07,8.45,5.69
"161",961,87,7.06,8.44,5.69
"162",962,NA,6.84,7.87,5.81
"163",963,94,6.82,7.88,5.76
"164",964,NA,6.73,7.76,5.69
"165",965,104,6.74,7.83,5.66
"166",966,98,6.76,7.97,5.55
"167",967,103,6.75,8.16,5.34
"168",968,NA,6.79,8.45,5.12
"169",969,98,6.84,8.61,5.07
"170",970,NA,6.48,7.95,5
"171",971,NA,6.52,8.05,4.99
"172",972,107,6.57,8.17,4.98
"173",973,NA,6.64,8.38,4.9
"174",974,108,5.91,7.78,4.05
"175",975,101,5.98,8.32,3.64
"176",976,NA,6.2,8.16,4.23
"177",977,112,6.16,7.85,4.48
"178",978,NA,6.57,8.89,4.24
"179",979,104,6.48,8.77,4.2
"180",980,NA,6.74,10.03,3.44
"181",981,NA,6.6,9.81,3.39
"182",982,NA,6.46,9.63,3.29
"183",983,NA,6.32,9.49,3.15
"184",984,NA,6.08,9.39,2.77
"185",985,94,5.92,9.23,2.61
"186",986,NA,5.64,8.16,3.12
"187",987,NA,5.79,7.64,3.95
"188",988,NA,5.67,7.48,3.86
"189",989,100,5.8,7.31,4.28
"190",990,NA,5.53,7.18,3.88
"191",991,104,5.53,7.11,3.94
"192",992,NA,5.29,7.34,3.24
"193",993,NA,5.32,7.24,3.4
"194",994,NA,5.35,7.17,3.53
"195",995,NA,5.38,7.14,3.63
"196",996,NA,5.42,7.14,3.69
"197",997,NA,5.45,7.18,3.71
